Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
U1,74HCT4052,DIL16,,TOP,270,34.72,-18.01
C18,10pF,CAP10,,TOP,90,27.26,-8.05
C19,47pF,CAP10,,TOP,90,27.26,-13.05
C20,100pF,CAP10,,TOP,270,27.26,-18.01
C21,470pF,CAP10,,TOP,90,27.26,-23.01
C22,680pF,CAP10,,TOP,90,27.26,-28.0101
R14,75k,VERTRESISTOR,,TOP,90,24.36,-7.89
R15,15k,VERTRESISTOR,,TOP,90,24.36,-12.97
R16,7k5,VERTRESISTOR,,TOP,90,24.36,-18.05
R17,1k5,VERTRESISTOR,,TOP,90,24.36,-23.13
R18,1k,VERTRESISTOR,,TOP,90,24.36,-28.21
C33,100nF,CAP20,,TOP,0,34.72,-5.31
C15,2.2pF,CAP10,,TOP,90,42.34,-12.93
C16,6.8pF,CAP10,,TOP,270,42.34,-18.01
C17,15pF,CAP10,,TOP,90,42.34,-23.09
C31,100nF,CAP20,,TOP,90,42.34,-29.4401
C10,100nF,CAP20,,TOP,0,48.69,-12.93
U3,PIC18F24J50,SPDIL28,,TOP,90,48.69,-31.9801
X1,CRYSTAL,XTAL18,,TOP,90,56.31,-20.55
C24,1uF,CAP10,,TOP,90,44.9199,-6.58
R26,20k,VERTRESISTOR,,TOP,90,47.42,-6.58
R27,1k,VERTRESISTOR,,TOP,270,49.9199,-6.58
R28,1k,VERTRESISTOR,,TOP,270,52.42,-6.58
C25,1uF,CAP10,,TOP,90,57.42,-6.58
C13,27pF,CAP10,,TOP,180,56.31,-12.93
C12,27pF,CAP10,,TOP,0,56.31,-26.9001
C11,10uF,ELEC-RAD10,,TOP,90,56.31,-31.9801
D8,DIODE,VERTDIODE,,TOP,0,56.31,-35.7901
R10,100,VERTRESISTOR,,TOP,180,56.31,-38.3301
R24,1k,VERTRESISTOR,,TOP,180,56.31,-40.8701
R25,100,VERTRESISTOR,,TOP,180,56.31,-43.4101
R8,10k,VERTRESISTOR,,TOP,180,56.31,-45.9501
D7,DIODE,VERTDIODE,,TOP,0,56.31,-48.4901
J3,25630501RP2,CON5_1X5_U_2563,NorComp 25630501RP2,TOP,270,57.58,-55.0301
R19,20k,VERTRESISTOR,,TOP,90,52.5,-57.3801
R20,10k,VERTRESISTOR,,TOP,270,49.96,-57.3801
C23,1uF,CAP10,,TOP,270,47.42,-57.3801
C32,100nF,CAP20,,TOP,90,44.88,-56.1101
U2,TLV272CP,DIL08,,TOP,270,38.53,-54.8401
R9,11k,VERTRESISTOR,,TOP,90,30.91,-56.1101
R22,5.1k,VERTRESISTOR,,TOP,90,28.37,-56.1101
R21,2.7k,VERTRESISTOR,,TOP,90,30.91,-51.0301
R23,20k,VERTRESISTOR,,TOP,90,28.37,-51.0301
RV1,5k,PRE-HMIN,,TOP,0,34.72,-39.6001
C4,100uF,ELEC-RAD10,,TOP,90,23.29,-57.3801
C5,100uF,ELEC-RAD10,,TOP,270,23.29,-51.0301
D1,DIODE,VERTDIODE,,TOP,0,16.94,-58.6501
D2,DIODE,VERTDIODE,,TOP,180,16.94,-56.1101
D3,DIODE,VERTDIODE,,TOP,0,16.94,-53.5701
D4,DIODE,VERTDIODE,,TOP,180,16.94,-51.0301
D5,DIODE-ZEN,VERTDIODE,,TOP,180,16.94,-48.4901
C3,1uF,CAP10,,TOP,270,13.13,-57.3801
C2,1uF,CAP10,,TOP,90,13.13,-52.3001
R5,680,VERTRESISTOR,,TOP,0,9.32,-58.6501
R6,2.2,VERTRESISTOR,,TOP,0,4.24,-58.6501
Q2,BC337,TO92,,TOP,180,8.05,-53.5701
Q3,BC337,TO92,,TOP,0,8.05,-49.7601
R4,1k5,VERTRESISTOR,,TOP,270,2.97,-54.8401
R7,1k,VERTRESISTOR,,TOP,270,2.97,-49.7601
R1,680,VERTRESISTOR,,TOP,0,4.24,-44.6801
R2,2.2,VERTRESISTOR,,TOP,180,10.59,-43.4101
C6,100nF,CAP20,,TOP,0,24.56,-42.1401
C1,1uF,CAP10,,TOP,180,16.94,-42.1401
C14,10uF,ELEC-RAD10,,TOP,180,4.24,-39.6001
D9,LED,LED,,TOP,270,4.24,-33.2501
R11,680,VERTRESISTOR,,TOP,90,9.32,-38.3301
R12,1k1,VERTRESISTOR,,TOP,270,9.32,-31.9801
U4,LM317L,TO92,,TOP,90,14.4,-34.0121
C30,100nF,ELEC-RAD10,,TOP,180,19.48,-37.0601
C26,10uF,ELEC-RAD10,,TOP,90,19.48,-30.7101
L2,100uH,VERTINDUCT,,TOP,90,24.56,-33.2501
RL,TSC-105D3H,RLY-OEG-TSC-D,,TOP,0,10.67,-20.51
C27,100nF,CAP20,,TOP,180,15.67,-26.9001
C9,1uF,CAP10,,TOP,180,9.32,-26.9001
R13,1k,VERTRESISTOR,,TOP,180,4.24,-26.9001
J2,26630201RP2,CON2_1X2_HDR_2663,NorComp 26630201RP2,TOP,90,2.97,-19.55
Q1,BC327,TO92,,TOP,0,4.24,-12.93
R3,2k2,VERTRESISTOR,,TOP,270,9.32,-12.93
D6,DIODE,VERTDIODE,,TOP,270,11.86,-12.93
L1,100uH,VERTINDUCT,,TOP,90,14.4,-12.93
C8,100nF,CAP20,,TOP,270,19.48,-20.55
C7,10uF,ELEC-RAD10,,TOP,90,19.48,-12.93
J1,USBCONN,USB-B-S-TH,,TOP,180,12.7998,-6.13466
