Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
J1,USBCONN,USB-B-S-TH,,TOP,180,2223.63,1542.34
U3,PIC18F24J50,SPDIL28,,TOP,90,1100,-100
U4,LM317L,TO92,,TOP,180,700,150
C14,10uF,CAP10,,TOP,90,450,-100
C31,100nF,CAP10,,TOP,270,650,-100
R8,10k,RES40,,TOP,90,448.425,-548.425
C27,100nF,CAP10,,TOP,180,650,350
R11,680,RES40,,TOP,0,650,450
R12,1k1,RES40,,TOP,180,650,550
X1,CRYSTAL,XTAL18,,TOP,90,1550,100
C12,27pF,CAP10,,TOP,90,1750,0
C13,27pF,CAP10,,TOP,270,1750,250
C10,100nF,CAP10,,TOP,90,1400,450
C11,10uF,CAP10,,TOP,0,1500,-250
D7,DIODE,DIODE30,,TOP,270,1500,-700
D8,DIODE,DIODE30,,TOP,270,1600,-700
R25,100,RES40,,TOP,270,1700,-650
R10,100,RES40,,TOP,270,1850,-650
R24,1k,RES40,,TOP,270,2000,-650
U2,TLV272CP,DIL08,,TOP,90,2400,-100
C23,1uF,CAP10,,TOP,90,1700,-250
R19,20k,RES40,,TOP,90,1900,100
R20,10k,RES40,,TOP,90,2000,-150
C30,100nF,CAP10,,TOP,0,2400,-400
C6,100nF,CAP10,,TOP,0,2400,200
C24,1uF,CAP10,,TOP,270,2300,350
R28,1k,RES40,,TOP,180,1750,400
R27,1k,RES40,,TOP,90,2050,350
C25,1uF,CAP10,,TOP,180,1850,550
R21,2.7k,RES40,,TOP,90,2650,-500
R22,5.1k,RES40,,TOP,90,2750,-500
R9,11k,RES40,,TOP,270,2850,-500
R23,20k,RES40,,TOP,90,2700,0
R26,20k,RES40,,TOP,90,2800,0
RV1,5k,PRE-HMIN,,TOP,0,2750,550
C29,100nF,CAP10,,TOP,180,3000,800
D9,LED,LED,,TOP,90,2700,1400
R13,1k,RES40,,TOP,0,2250,1150
C28,10uF,CAP10,,TOP,90,2500,550
L1,100uH,THIND,,TOP,0,2200,800
L2,100uH,THIND,,TOP,180,2200,700
C26,10uF,CAP10,,TOP,0,1650,800
R6,2.2,RES40,,TOP,180,1650,1000
R5,680,RES40,,TOP,0,1650,900
R4,1k5,RES40,,TOP,180,1650,1100
C1,1uF,CAP10,,TOP,180,1650,1200
R2,2.2,RES40,,TOP,0,1600,1400
R1,680,RES40,,TOP,0,1600,1500
R3,2k2,RES40,,TOP,0,1600,1600
Q1,BC327,TO92,,TOP,0,1100,1500
Q2,BC337,TO92,,TOP,0,1050,1250
D4,DIODE,DIODE30,,TOP,180,1000,1100
D5,DIODE-ZEN,DIODE30,,TOP,-90,1300,950
D2,DIODE,DIODE30,,TOP,180,1000,950
D3,DIODE,DIODE30,,TOP,180,600,1100
D1,DIODE,DIODE30,,TOP,180,600,950
C4,100uF,CAP10,,TOP,90,650,800
C5,100uF,CAP10,,TOP,180,950,800
C2,1uF,CAP10,,TOP,180,800,1350
C3,1uF,CAP10,,TOP,180,800,1500
J3,25630501RP2,CON5_1X5_U_2563,NorComp 25630501RP2,TOP,270,650,-607.48
J2,26630201RP2,CON2_1X2_HDR_2663,NorComp 26630201RP2,TOP,180,2510.63,-1000
U1,74HCT4052,DIL16,,TOP,90,3250,350
RL,TSC-105D3H,RLY-OEG-TSC-D,,TOP,270,3398.43,-648.425
R18,1k,RES40,,TOP,0,3250,1450
R17,1k5,RES40,,TOP,0,3250,1350
C22,680pF,CAP10,,TOP,270,2900,1400
C7,10uF,CAP10,,TOP,0,3000,950
C8,100nF,CAP10,,TOP,0,3000,1100
C9,1uF,CAP10,,TOP,90,3100,-900
C15,2.2pF,CAP10,,TOP,270,3200,-250
C16,6.8pF,CAP10,,TOP,270,3350,-250
C17,15pF,CAP10,,TOP,270,3500,-250
C18,10pF,CAP10,,TOP,270,3650,-250
R16,7k5,RES40,,TOP,90,3550,150
Q3,BC337,TO92,,TOP,270,3650,-800
R7,1k,RES40,,TOP,180,3300,-1050
R14,75k,RES40,,TOP,270,3650,150
R15,15k,RES40,,TOP,90,3550,650
C19,47pF,CAP10,,TOP,90,3450,1150
C20,100pF,CAP10,,TOP,-90,3200,1150
C21,470pF,CAP10,,TOP,270,3600,1400
D6,DIODE,DIODE30,,TOP,90,3800,-450
